IMDB ID,Title,Year,Date Published,Genre,Duration,Country,Language,Director,Writer,Production Company,Actors,Avg Rating,# of Ratings,Lifetime_Gross,Lifetime Gross - Adjusted ($),Decade
tt1106860,Ca$h,2010,2010-03-01,"Crime, Thriller",108,USA,English,Stephen Milburn Anderson,Stephen Milburn Anderson,Immortal Thoughts,"Sean Bean, Chris Hemsworth, Victoria Profeta, Mike Starr, Michael Mantell, Glenn Plummer, Antony Thekkek, Paul Sanchez, Peggy Roeder, Larry Neumann Jr., Mindy Bell, Christian Stolte, Robert C. Goodwin, Bruce Potts, Jacqueline Williams",6.0,8719,"$46,488.00","$53,534.24",2010-2019
tt1111948,Soul Men,2008,2008-11-07,"Comedy, Drama, Music",100,USA,English,Malcolm D. Lee,"Robert Ramsey, Matthew Stone",Dimension Films,"Samuel L. Jackson, Bernie Mac, Sharon Leal, Adam Herschman, Sean Hayes, Affion Crockett, Fatso-Fasano, Jackie Long, Mike Epps, John Legend, Isaac Hayes, Vanessa del Rio, P.J. Byrne, Ken Davitian, Jennifer Coolidge",6.4,10101,"$12,082,391.00","$14,091,642.74",2000-2009
tt1114680,That Evening Sun,2009,2009-03-16,Drama,109,USA,English,Scott Teems,"Scott Teems, William Gay",Dogwood Entertainment,"Hal Holbrook, Ray McKinnon, Walton Goggins, Mia Wasikowska, Carrie Preston, Barry Corbin, Dixie Carter, Barlow Jacobs, Anthony Reynolds, Brian Edward Keith, Bruce McKinnon, William J. Mode, Jacob Parkhurst",7.1,2520,"$281,350.00","$329,308.95",2000-2009
tt1114740,Paul Blart: Mall Cop,2009,2009-03-20,"Action, Comedy, Crime",91,USA,English,Steve Carr,"Kevin James, Nick Bakay",Columbia Pictures,"Kevin James, Keir O'Donnell, Jayma Mays, Raini Rodriguez, Shirley Knight, Stephen Rannazzisi, Peter Gerety, Bobby Cannavale, Adam Ferrara, Jamal Mixon, Adhir Kalyan, Erick Avari, Gary Valentine, Allen Covert, Mike Vallely",5.2,97589,"$146,336,178.00","$171,280,658.58",2000-2009
tt1119646,The Hangover,2009,2009-06-12,Comedy,100,"USA, Germany",English,Todd Phillips,"Jon Lucas, Scott Moore",Warner Bros.,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham, Sasha Barrese, Jeffrey Tambor, Ken Jeong, Rachael Harris, Mike Tyson, Mike Epps, Jernard Burks, Rob Riggle, Cleo King, Bryan Callen",7.7,682336,"$277,322,503.00","$324,594,926.57",2000-2009
tt1120985,Blue Valentine,2010,2011-01-14,"Drama, Romance",112,USA,English,Derek Cianfrance,"Derek Cianfrance, Joey Curtis",Incentive Filmed Entertainment,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Marshall Johnson, Jen Jones, Maryann Plunkett, James Benatti, Barbara Troy, Carey Westbrook, Ben Shenkman, Eileen Rosen, Enid Graham, Ashley Gurnari",7.4,173519,"$9,706,328.00","$11,177,527.36",2010-2019
tt1121931,Crank: High Voltage,2009,2009-04-16,"Action, Crime, Thriller",96,USA,English,"Mark Neveldine, Brian Taylor","Mark Neveldine, Brian Taylor",Lionsgate,"Jason Statham, Amy Smart, Dwight Yoakam, Efren Ramirez, Julanne Chidi Hill, Jose Pablo Cantillo, Reno Wilson, Keone Young, Art Hsu, Joseph Julian Soria, Bai Ling, Clifton Collins Jr., David Carradine, Corey Haim, Geri Horner",6.2,134014,"$13,684,249.00","$16,016,867.55",2000-2009
tt1121986,Art of Submission,2012,2013-01-24,"Action, Drama",119,USA,English,"Adam Boster, Kenneth Chamitoff",Kenneth Chamitoff,Pro-Motion Pictures,"Maria Conchita Alonso, Ving Rhames, John Savage, George Takei, Ernie Reyes Jr., Fernanda Romero, Matthias Hues, Joe Nieves, Matt Riedy, Mariano 'Big Dawg' Mendoza, Sara Downing, Lisa Canning, Chris Casamassa, Vic Chao, Rob Mars",4.0,486,"$9,004.00","$9,847.68",2010-2019
tt1122599,Momma's Man,2008,2009-05-08,"Comedy, Drama",94,USA,English,Azazel Jacobs,Azazel Jacobs,Artists Public Domain,"Matt Boren, Flo Jacobs, Ken Jacobs, Dana Varon, Gabriel Welch, Piero Arcilesi, Nan Archilesi, Jacques Wakefield, Cole Mohr, Chris Galya, Charlotte Greville, Annick Mayer, Richard Edson, Eleanor Hutchins, Juliet Lyons Gray",6.0,574,"$100,435.00","$117,136.93",2000-2009
tt1122836,Alien Trespass,2009,2009-01-01,"Comedy, Horror, Sci-Fi",90,"USA, Canada",English,R.W. Goodwin,"Steven P. Fisher, James Swift",Rangeland Productions,"Eric McCormack, Jenni Baird, Dan Lauria, Robert Patrick, Jody Thompson, Aaron Brooks, Sarah Smyth, Andrew Dunbar, Sage Brocklebank, Tom McBeath, Vincent Gale, Jerry Wasserman, Jonathon Young, Michael Roberds, Laura Carswell",5.6,3512,"$104,526.00","$122,343.51",2000-2009
